Date	Close	Change	Avg Gain	Avg Loss	RS	RSI	
30/06/2006	334	3.5	1.397007986	0.89531271	1.560357595	60.9429557	
03/07/2006	340	6	1.72579313	0.831361802	2.075862911	67.48879814	
04/07/2006	340.25	0.25	1.620379335	0.771978816	2.09899456	67.73146965	
05/07/2006	339	-1.25	1.504637954	0.806123186	1.866511198	65.11438711	
06/07/2006	347.25	8.25	1.986449528	0.748542959	2.653754879	72.63089525	
07/07/2006	343.5	-3.75	1.844560276	0.962932747	1.915565009	65.70133072	
10/07/2006	348	4.5	2.034234542	0.894151837	2.275043744	69.4660567	
11/07/2006	342.75	-5.25	1.888932075	1.205283848	1.567209316	61.04719651	
12/07/2006	342	-0.75	1.754008355	1.172763574	1.495619744	59.92979289	
13/07/2006	345	3	1.843007759	1.088994747	1.692393617	62.85832823	
14/07/2006	347	2	1.85422149	1.011209408	1.833667167	64.71004035	
17/07/2006	347.5	0.5	1.757491384	0.938980164	1.871702354	65.17744958	
18/07/2006	345.25	-2.25	1.631956285	1.032624438	1.580396729	61.24626928	
19/07/2006	346.5	1.25	1.604673693	0.95886555	1.673512719	62.59602608	
20/07/2006	351	4.5	1.811482715	0.890375153	2.034516246	67.04581822	
21/07/2006	355.75	4.75	2.021376807	0.826776928	2.444887778	70.97147819	
24/07/2006	360.25	4.5	2.198421321	0.767721433	2.863566425	74.11717854	
25/07/2006	357.5	-2.75	2.041391226	0.90931276	2.244982494	69.18319276	
26/07/2006	363.5	6	2.324148996	0.844361848	2.752550937	73.35146099	
27/07/2006	363.75	0.25	2.175995496	0.784050288	2.775326444	73.51222431	
28/07/2006	364.5	0.75	2.074138675	0.728046696	2.848908851	74.0186105	
31/07/2006	359.5	-5	1.925985912	1.033186217	1.86412273	65.08529508	
01/08/2006	356.5	-3	1.78841549	1.173672916	1.52377674	60.3768438	
02/08/2006	363	6.5	2.124957241	1.089839136	1.949789808	66.09927944	
03/08/2006	360.5	-2.5	1.973174581	1.190564912	1.657343132	62.36842778	
04/08/2006	364.25	3.75	2.100090682	1.105524561	1.899632767	65.51287421	
07/08/2006	362	-2.25	1.950084205	1.187272807	1.642490414	62.15691097	
08/08/2006	364	2	1.953649619	1.102467607	1.772069861	63.92587308	
09/08/2006	361	-3	1.814103217	1.238005635	1.465343264	59.43769719	
10/08/2006	365	4	1.970238702	1.149576661	1.713881961	63.15241362	
11/08/2006	373.25	8.25	2.41879308	1.067464042	2.265924645	69.38079996	
14/08/2006	370.75	-2.5	2.246022146	1.169788039	1.920024886	65.75371652	
15/08/2006	377.5	6.75	2.56773485	1.086231751	2.36389228	70.27253204	
16/08/2006	374.5	-3	2.384325218	1.222929483	1.949683323	66.09805561	
17/08/2006	375	0.5	2.249730559	1.135577377	1.981133655	66.45571398	
18/08/2006	372	-3	2.089035519	1.268750421	1.646529912	62.2146723	
21/08/2006	372.5	0.5	1.975532982	1.178125391	1.676844415	62.6425804	
22/08/2006	370	-2.5	1.834423484	1.272545006	1.441539179	59.04223006	
23/08/2006	367.25	-2.75	1.703393235	1.378077506	1.2360649	55.27857891	
24/08/2006	368	0.75	1.635293718	1.279643398	1.277929242	56.10048014	
25/08/2006	368	0	1.518487024	1.188240298	1.277929242	56.10048014	
29/08/2006	371	3	1.624309379	1.103365991	1.472140153	59.54921897	
30/08/2006	376	5	1.865430138	1.024554135	1.820723839	64.54810691	
31/08/2006	377.25	1.25	1.821470842	0.951371697	1.914573293	65.68966022	
01/09/2006	380	2.75	1.887794354	0.883416575	2.136924308	68.12164076	
04/09/2006	380	0	1.7529519	0.820315391	2.136924308	68.12164076	
05/09/2006	375	-5	1.62774105	1.118864292	1.454815442	59.26374004	
06/09/2006	371	-4	1.511473832	1.3246597	1.141028018	53.29346503	
07/09/2006	370.5	-0.5	1.403511415	1.265755435	1.108833015	52.58040855	
08/09/2006	369	-1.5	1.3032606	1.28248719	1.016197752	50.40169057	
11/09/2006	369.75	0.75	1.263741986	1.190880962	1.061182457	51.48415918	
12/09/2006	371.75	2	1.316331844	1.105818036	1.190369302	54.34559829	
13/09/2006	368.5	-3.25	1.222308141	1.258973891	0.970876481	49.26115311	
14/09/2006	367.75	-0.75	1.135000416	1.222618613	0.928335627	48.14180757	
15/09/2006	375.75	8	1.62535753	1.135288712	1.431668889	58.87598002	
18/09/2006	376.75	1	1.580689135	1.054196661	1.49942529	59.99080253	
19/09/2006	371.25	-5.5	1.467782768	1.371754043	1.070004332	51.69092235	
20/09/2006	372.25	1	1.434369713	1.273771611	1.126080767	52.96509825	
21/09/2006	376.75	4.5	1.653343305	1.182787924	1.3978358	58.29572651	
22/09/2006	370	-6.75	1.535247355	1.58044593	0.971401378	49.27466263	
25/09/2006	367	-3	1.425586829	1.681842649	0.847633891	45.87672348	
